0x00110000: Mth::IsInfinity
0x001166d8: BitStream::Flush
0x00116718: BitStream::ReadUnsignedValue
0x001167d8: BitStream::ReadSignedValue
0x00116830: Lst::HashTable_Nx::CSector_::FlushItem
0x001168e8: Dbg::SetBuildVersion
0x00116920: OurPrintf
0x00116a28: Str::String::String
0x00116a48: Str::String::String
0x00116a88: Str::String::String
0x00116ac8: Str::String::_String
0x00116b38: Str::String::operator=
0x00116b98: Str::String::operator=
0x00116be0: Str::String::getString
0x00116be8: Str::String::copy
0x00116e28: Str::StrStr
0x00116f18: Str::LowerCase
0x00116f50: Mth::CBBox::GetClosestIntersectPoint
0x00116f60: Str::UpperCase
0x00116fa8: Str::PrintThousands
0x001170d0: Str::DehexifyDigit
0x00117130: Str::Compare
0x001171d0: Str::ParseNextWord
0x001172c0: Spt::Class::operator new
0x00117320: Spt::Class::operator new []
0x00117380: Spt::Class::operator new
0x001173e8: Spt::Class::operator new
0x001173f0: Mth::SlerpInterpolator::SlerpInterpolator
0x001173f8: Mth::SlerpInterpolator::SlerpInterpolator
0x00117420: Mth::SlerpInterpolator::setMatrices
0x00117440: Spt::Class::operator new
0x00117468: Spt::Class::operator new
0x001174a0: Tsk::BaseTask::BaseTask
0x00117518: Tsk::BaseTask::_BaseTask
0x00117598: Tsk::BaseTask::Remove
0x00117610: Tsk::BaseTask::InList
0x00117630: Lst::Node_Tsk::BaseTask_::_Node
0x00117690: Tsk::List::List
0x001176d0: Tsk::List::_List
0x00117730: Tsk::List::Process
0x00117878: Tsk::List::AddTask
0x00117920: Tsk::List::RemoveAllTasks
0x00117990: Mth::SlerpInterpolator::getMatrix
0x001179c0: Tsk::List::SignalListChange
0x001179d8: Lst::Head_Tsk::BaseTask_::_Head
0x00117a38: Lst::Search_Tsk::BaseTask_::_Search
0x00117a70: Tsk::Stack::remove_dead_entries
0x00117af8: Tsk::Stack::StackElement::StackElement
0x00117b50: Tsk::Stack::StackElement::_StackElement
0x00117ba8: Tsk::Stack::Stack
0x00117c30: Tsk::Stack::_Stack
0x00117c98: Mth::SlerpInterpolator::invertDirection
0x00117cc8: Mth::RotateY90
0x00117d40: Tsk::Stack::Push
0x00117d80: BitStream::BitStream
0x00117da0: Tsk::Stack::Pop
0x00117db8: BitStream::SetOutputData
0x00117dd8: BitStream::GetByteLength
0x00117de8: BitStream::WriteValue
0x00117ec8: Tsk::Stack::Process
0x00117ed0: BitStream::Flush
0x00117f10: BitStream::ReadUnsignedValue
0x00117f28: Tsk::Stack::AddTask
0x00117f50: Tsk::Stack::RemoveAllTasks
0x00117f88: Tsk::Stack::RemoveAllPushTasks
0x00117fa8: Lst::Search_Tsk::Stack::StackElement_::_Search
0x00117fe0: Lst::Node_Tsk::Stack::StackElement_::_Node
0x00118020: BitStream::ReadSignedValue
0x00118040: Lst::Head_Tsk::Stack::StackElement_::_Head
0x001180a0: Crc::GenerateCRCCaseSensitive
0x001180a8: Lst::HashTable_Nx::CSector_::FlushItem
0x00118190: Dbg::set_trap
0x001181a8: Dbg::set_assert_info_callback
0x001181b8: Dbg::maybe_print_assert_info
0x00118208: Dbg::DumpMemoryState
0x00118218: Crc::UpdateCRC
0x00118370: Crc::GenerateCRC
0x00118388: Dbg::Assert
0x001185c8: Crc::GenerateCRCFromString
0x00118658: Crc::ExtendCRCWithString
0x001186a0: Dbg::assert_replace_slashes
0x001186e0: InitTree
0x00118910: DeInitTree
0x00118930: Dbg::SetBuildVersion
0x00118958: Dbg::GetBuildVersion
0x00118968: Mem::CPoolable_Script::CStruct_::operator new
0x00118988: InsertNode
0x00118b00: Mem::CPoolable_Script::CArray_::operator new
0x00118bd8: DeleteNode
0x00118c98: Mem::CPoolable_Script::CArray_::operator delete
0x00118da8: Encode
0x00118df0: Mem::CPoolable_Script::CStruct_::operator delete
0x00118f48: Log::Init
0x00119110: Log::AddEntry
0x00119270: Dbg::s_prefixed_output
0x00119350: Dbg::pad_printf
0x001193d0: Dbg::print
0x001193f8: Dbg::message
0x00119450: DecodeLZSS
0x00119488: Dbg::fmessage
0x00119580: Dbg::notify
0x00119610: Dbg::warning
0x001196a0: Dbg::error
0x001196d8: Thread::CreateThread
0x00119730: Dbg::set_output
0x00119780: Dbg::SetUp
0x001197b0: Dbg::CloseDown
0x001197b8: OurPrintf
0x00119828: global constructors keyed to c__nxcommon_skate7_code_core_thread_NGPS_t_thread.cppOfiaaa
0x00119850: Sys::DestroyNotify
0x001198a8: Sys::prepare_to_exit
0x001198b8: check_checksum
0x00119958: Sys::LoadExec
0x001199a8: quick_check_checksum
0x001199d0: global constructors keyed to c__nxcommon_skate7_code_core_debug_Debug.cppNLbaaa
0x001199f0: Str::String::String
0x00119a10: Str::String::String
0x00119a50: Str::String::String
0x00119a90: Sys::ExitDemo
0x00119b50: Nx::dtoc
0x00119b58: Str::String::operator=
0x00119bb8: Str::String::operator=
0x00119bd8: Config::SetProgressive
0x00119bf8: Config::sIsPrefixedWith
0x00119c38: Str::String::getString
0x00119c40: Str::String::copy
0x00119c90: Config::GetCommandLineParam
0x00119f38: Config::CommandLineContainsFlag
0x00119f88: Str::StrStr
0x0011a078: Config::Init
0x0011a0c0: Str::UpperCase
0x0011a108: Str::PrintThousands
0x0011a230: Str::DehexifyDigit
0x0011a278: Config::GetMemCardHeader
0x0011a288: Config::SetMemCardHeader
0x0011a2b0: Config::GetDirectory
0x0011a2d0: Str::Compare
0x0011a2d8: Config::GetLanguageExt
0x0011a368: Config::GetLanguageName
0x0011a370: Str::ParseNextWord
0x0011a410: Config::GetHardwareName
0x0011a4a0: Config::GetPlatformExt
0x0011a4d8: Str::IsPrefixedWith
0x0011a510: Config::SetLanguage
0x0011a530: Config::SetMultiLanguageBuild
0x0011a540: Config::IsMultiLanguageBuild
0x0011a550: SIO::Manager::sSgltnInstance
0x0011a5a0: Str::TruncateWithEllipsis
0x0011a5b0: SIO::Manager::sSgltnDelete
0x0011a620: SIO::Manager::process_devices
0x0011a6a0: Spt::Class::operator new
0x0011a6d0: SIO::Manager::create_device
0x0011a720: Spt::Class::operator new []
0x0011a728: SIO::LoadIRX
0x0011a7a0: Spt::Class::operator new
0x0011a828: Spt::Class::operator new
0x0011a8c8: Spt::Class::operator new
0x0011a8f0: Spt::Class::operator new
0x0011a928: Tsk::BaseTask::BaseTask
0x0011a980: SIO::Manager::Manager
0x0011a9b8: Tsk::BaseTask::_BaseTask
0x0011aa88: Tsk::BaseTask::Remove
0x0011ab10: Tsk::BaseTask::InList
0x0011ab30: Lst::Node_Tsk::BaseTask_::_Node
0x0011abc0: Tsk::List::List
0x0011ac00: Tsk::List::_List
0x0011ace0: SIO::Manager::_Manager
0x0011ad68: Tsk::List::Process
0x0011ae48: SIO::Manager::GetDevice
0x0011af00: SIO::Manager::GetDeviceByIndex
0x0011afa8: SIO::Manager::Pause
0x0011afe8: Tsk::List::AddTask
0x0011b058: SIO::Manager::UnPause
0x0011b108: Tsk::Task_Lst::Head_SIO::Device_ _::_Task
0x0011b128: Lst::Search_SIO::Device_::_Search
0x0011b160: Lst::Node_SIO::Device_::_Node
0x0011b1c0: Lst::Head_SIO::Device_::_Head
0x0011b220: Tsk::Task_Lst::Head_SIO::Device_ _::vCall
0x0011b240: Tsk::Task_Lst::Head_SIO::Device_ _::GetCode
0x0011b248: SIO::Device::process
0x0011b2d8: SIO::Device::wait
0x0011b318: SIO::Device::read_data
0x0011b338: Tsk::List::SignalListChange
0x0011b348: Lst::Head_Tsk::BaseTask_::_Head
0x0011b400: SIO::Device::IsPluggedIn
0x0011b408: SIO::Device::acquisition_pending
0x0011b440: SIO::Device::query_capabilities
0x0011b448: Lst::Search_Tsk::BaseTask_::_Search
0x0011b4b8: Tsk::Stack::remove_dead_entries
0x0011b580: SIO::Device::get_status
0x0011b5a8: Tsk::Stack::StackElement::StackElement
0x0011b610: SIO::Device::Device
0x0011b618: Tsk::Stack::StackElement::_StackElement
0x0011b698: Tsk::Stack::Stack
0x0011b720: Tsk::Stack::_Stack
0x0011b738: SIO::Device::_Device
0x0011b7b0: SIO::Device::Acquire
0x0011b830: SIO::Device::Unacquire
0x0011b870: SIO::Device::ActivateActuator
0x0011b968: SIO::Device::DisableActuators
0x0011b9a8: Tsk::Stack::Push
0x0011ba18: SIO::Device::EnableActuators
0x0011ba20: SIO::Device::ResetActuators
0x0011ba78: SIO::Device::Pause
0x0011bb28: Tsk::Stack::Pop
0x0011bb38: SIO::Device::UnPause
0x0011bbf8: SIO::Device::StopAllVibrationIncludingSaved
0x0011bc90: File::ScriptInPreFile
0x0011bc98: File::ScriptLoadPreFile
0x0011bca0: File::ScriptUnloadPreFile
0x0011bca8: File::ScriptIsLoadPreFinished
0x0011bcb0: File::ScriptAllLoadPreFinished
0x0011bcb8: File::ScriptWaitLoadPre
0x0011bcc0: File::ScriptWaitAllLoadPre
0x0011bcc8: WaitForMemory::Initialize
0x0011bd00: WaitForMemory::Deinitialize
0x0011bd28: WaitForMemory::WaitSemaMaybe
0x0011bd58: WaitForMemory::SignalSemaMaybe
0x0011bd88: Mem::Manager::InitSmallPools
0x0011be10: Tsk::Stack::Process
0x0011bea0: Tsk::Stack::AddTask
0x0011bf18: Tsk::Stack::RemoveAllTasks
0x0011bfe0: Tsk::Stack::RemoveAllPushTasks
0x0011c028: Lst::Search_Tsk::Stack::StackElement_::_Search
0x0011c098: Lst::Node_Tsk::Stack::StackElement_::_Node
0x0011c108: Mem::Manager::FindPoolIndex
0x0011c128: Lst::Head_Tsk::Stack::StackElement_::_Head
0x0011c1b0: Mem::Manager::Manager
0x0011c228: Crc::GenerateCRCCaseSensitive
0x0011c3a0: Crc::UpdateCRC
0x0011c3b0: Mem::Manager::_Manager
0x0011c468: Mem::Manager::CodeSize
0x0011c478: Mem::Manager::MainRegionSize
0x0011c4b0: Mem::Manager::New
0x0011c558: Crc::GenerateCRC
0x0011c630: Mem::Manager::PureNew
0x0011c6d0: Mem::Manager::NewZero
0x0011c718: Mem::Manager::Available
0x0011c748: Mem::Manager::ReallocateDown
0x0011c7b0: Crc::GenerateCRCFromString
0x0011c808: Mem::Manager::ReallocateUp
0x0011c840: Crc::ExtendCRCWithString
0x0011c8c8: Mem::Manager::ReallocateShrink
0x0011c988: Mem::Manager::PushMemoryMarker
0x0011c990: Mem::Manager::PopMemoryMarker
0x0011c998: Mem::Manager::Delete
0x0011ca28: Mem::Manager::PushContext
0x0011ca50: Mem::Manager::PopContext
0x0011ca98: Mem::Manager::GetContextName
0x0011caa8: Mem::Manager::GetContextAllocator
0x0011cab8: Mem::Manager::GetContextDirection
0x0011cac8: Mem::Manager::SkaterInfoHeap
0x0011caf0: Mem::Manager::ProfilerHeap
0x0011cb18: Mem::Manager::SkaterHeap
0x0011cb68: Mem::Manager::SkaterGeomHeap
0x0011cbb8: Mem::Manager::GetHeap
0x0011cbd0: DeInitTree
0x0011ccf8: InsertNode
0x0011cd70: Mem::Manager::CreateHeap
0x0011cdf0: Mem::Manager::RemoveHeap
0x0011ce98: Mem::Manager::FirstHeap
0x0011ceb8: Mem::Manager::NextHeap
0x0011cf48: DeleteNode
0x0011cf90: Mem::Manager::InitOtherHeaps
0x0011d118: Encode
0x0011d208: Mem::Manager::InitNetMiscHeap
0x0011d290: Mem::Manager::DeleteNetMiscHeap
0x0011d2f0: Mem::Manager::InitInternetHeap
0x0011d390: Mem::Manager::DeleteInternetHeap
0x0011d400: Mem::Manager::InitCutsceneHeap
0x0011d488: Mem::Manager::DeleteCutsceneHeap
0x0011d510: Mem::Manager::InitDebugHeap
0x0011d598: Mem::Manager::InitSkaterHeaps
0x0011d748: Mem::Manager::DeleteSkaterHeaps
0x0011d890: DecodeLZSS
0x0011d898: Mem::Manager::DeleteOtherHeaps
0x0011da48: Mem::Manager::sSetUp
0x0011daa0: Mem::Manager::sSetUpDebugHeap
0x0011dac8: Mem::Manager::sCloseDown
0x0011db18: Mem::Manager::find_named_heap_info
0x0011db98: Dbg::ttySetSocket
0x0011dbb0: Mem::Manager::NamedHeap
0x0011dbd8: Mem::Manager::InitNamedHeap
0x0011dc18: Dbg::ttyEventHandler
0x0011dc90: Dbg::ttySend
0x0011dca8: Mem::Manager::DeleteNamedHeap
0x0011dd28: Malloc
0x0011dd60: Available
0x0011dd88: ReallocateDown
0x0011ddb0: Dbg::ttyprintfEE
0x0011ddb8: ReallocateUp
0x0011dde8: ReallocateShrink
0x0011de18: Free
0x0011de28: Dbg::ttyInit
0x0011de40: Realloc
0x0011dea8: Dbg::ttyInitEE
0x0011dec8: Calloc
0x0011def8: Mem::SetThreadSafe
0x0011df10: Mem::PushMemProfile
0x0011df18: Mem::PushMemProfile
0x0011df20: Mem::PopMemProfile
0x0011df28: Mem::DumpMemProfile
0x0011df30: Mem::AllocMemProfile
0x0011df38: Mem::FreeMemProfile
0x0011df40: Mem::GetCurrentMemProfile
0x0011df48: Mem::PushCurrentMemProfile
0x0011df50: Mem::PopCurrentMemProfile
0x0011df58: Mem::GetMemProfileSize
0x0011df60: Mem::SetMemProfileSize
0x0011df70: Mem::Region::_Region
0x0011df80: Dbg::ttyIsOn
0x0011df90: Dbg::default_print
0x0011dfa8: Mem::Region::init
0x0011dfb0: Dbg::default_trap
0x0011dfd0: Mem::Region::RegisterAllocator
0x0011e008: Mem::Region::UnregisterAllocator
0x0011e028: Mem::Region::Allocate
0x0011e030: Dbg::exception_handler
0x0011e118: Mem::Region::Region
0x0011e150: Mem::AllocRegion::AllocRegion
0x0011e1d8: Mem::AllocRegion::_AllocRegion
0x0011e238: Mem::Region::MemAvailable
0x0011e260: Mem::Region::EnableMemProfile
0x0011e268: Mem::Region::IsMemProfileEnabled
0x0011e270: Mem::Allocator::Context::Context
0x0011e2a0: Mem::Allocator::Context::_Context
0x0011e300: Mem::Allocator::s_free
0x0011e360: Mem::Allocator::s_set_id
0x0011e390: Dbg::initialize_exception_handler
0x0011e3a0: Mem::Allocator::BlockHeader::sRead
0x0011e3d8: Mem::Allocator::Allocator
0x0011e4b8: Mem::Allocator::_Allocator
0x0011e4f8: Thread::CreateThread
0x0011e558: Mem::Allocator::PushContext
0x0011e5b0: Mem::Allocator::PopContext
0x0011e638: Mem::Allocator::IsMemProfileEnabled
0x0011e648: global constructors keyed to c__nxcommon_skate7_code_core_thread_NGPS_t_thread.cppK9baaa
0x0011e658: Mem::Allocator::PushAlign
0x0011e668: Sys::DestroyNotify
0x0011e6c8: Sys::CBaseNotify::_CBaseNotify
0x0011e770: Mem::Allocator::PopAlign
0x0011e788: Mem::Allocator::GetAlign
0x0011e798: Sys::CBaseNotify::sDummyCB
0x0011e7a0: Sys::CBaseNotify::Process
0x0011e7a8: Mem::Allocator::CreateCompact16
0x0011e7b0: Mem::Allocator::CreateCompact32
0x0011e7b8: Mem::Allocator::GetCompact16
0x0011e7c0: Mem::Allocator::GetCompact32
0x0011e7d0: Mem::Allocator::BlockHeader::get_padsize
0x0011e7d8: Mem::Allocator::available
0x0011e7e0: Mem::Allocator::reallocate_down
0x0011e7e8: Mem::Allocator::reallocate_up
0x0011e7f0: Mem::Allocator::reallocate_shrink
0x0011e7f8: Lst::Node_Mem::Allocator::Context_::_Node
0x0011e820: Tsk::Task_Sys::CBaseNotify_::GetCode
0x0011e828: Sys::prepare_to_exit
0x0011e858: Lst::Head_Mem::Allocator::Context_::_Head
0x0011e8b8: Lst::Search_Mem::Allocator::Context_::_Search
0x0011e8d8: Sys::LoadExec
0x0011e8f0: Mem::Heap::free
0x0011ea38: Sys::ExitDemo
0x0011eaf0: Sys::Profiler::GetContextList
0x0011eb58: Sys::Profiler::Profiler
0x0011ec40: Sys::Profiler::_Profiler
0x0011ece8: Sys::box
0x0011ed20: Mem::Heap::LargestFreeBlock
0x0011ed78: Mem::Heap::allocate
0x0011edf0: Sys::line
0x0011ee88: Sys::box
0x0011eef8: Sys::Profiler::start_new_frame
0x0011ef70: Sys::Profiler::render
0x0011f310: Mem::Heap::available
0x0011f330: Mem::Heap::reallocate_down
0x0011f420: Mem::Heap::reallocate_up
0x0011f540: Mem::Heap::reallocate_shrink
0x0011f5d8: Sys::Profiler::PushContext
0x0011f638: Mem::Heap::Heap
0x0011f6b8: Mem::Heap::AllocatePadding
0x0011f7b0: Sys::Profiler::PushContext
0x0011f7f0: Sys::Profiler::PopContext
0x0011f8e0: Mem::Heap::FreePadding
0x0011f940: Sys::Profiler::SetRenderMode
0x0011f948: Sys::Profiler::sSetUp
0x0011f990: Mem::Heap::TotalFree
0x0011f9f0: Mem::Record::operator+=
0x0011fa18: Mem::Record::operator-=
0x0011fa30: Mem::Heap::_Heap
0x0011fa50: Mem::Pile::allocate
0x0011fac8: Mem::Pile::free
0x0011fad8: Mem::Pile::_Pile
0x0011fb00: Mem::Pile::PushContext
0x0011fb28: Mem::Pile::PopContext
0x0011fb48: Sys::Profiler::sCloseDown
0x0011fb50: Mem::Pool::allocate
0x0011fb80: Mem::Pool::free
0x0011fb98: Mem::Pool::_Pool
0x0011fbd0: Mem::CCompactPool::CCompactPool
0x0011fbe8: Sys::Profiler::sRender
0x0011fce8: Mem::CCompactPool::_CCompactPool
0x0011fd48: Mem::CCompactPool::IsInPool
0x0011fd78: Mem::CCompactPool::Allocate
0x0011fdb8: Mem::CCompactPool::Free
0x0011fdd8: Mem::CCompactPool::DumpStats
0x0011fde0: Mem::PoolManager::SSetupPool
0x0011fe58: Sys::Profiler::sStartFrame
0x0011fe88: Mem::PoolManager::SCreateItem
0x0011fef0: Mem::PoolManager::SFreeItem
0x0011ff20: Sys::Profiler::sEnable
0x0011ff30: Sys::Profiler::sDisable
0x0011ff40: Mem::PoolManager::SGetPool
0x0011ff58: Mem::PoolManager::s_get_item_size
0x0011ff60: Nx::dtoc
0x0011ff68: Pip::sSkipToNextPreContained
0x0011ffa8: Pip::sSkipOverPreName
0x0011ffe0: Pip::LoadPre
0x0011ffe8: Config::SetProgressive
0x00120008: Config::sIsPrefixedWith
0x001200d0: Config::GetCommandLineParam
0x00120378: Config::CommandLineContainsFlag
0x001204b8: Config::Init
0x001206b8: Config::GetMemCardHeader
0x001206c8: Config::SetMemCardHeader
0x001206f0: Config::GetDirectory
0x00120718: Config::GetLanguageExt
0x001207a8: Config::GetLanguageName
0x001207b0: Pip::UnloadPre
0x00120848: Config::GetTerritoryName
0x001208b0: Config::GetHardwareName
0x001208f0: Pip::sSeeIfFileIsInAnyPre
0x00120938: Config::GetDisplayTypeName
0x00120978: Config::GetPlatformExt
0x001209e8: Config::SetLanguage
0x00120a08: Config::SetMultiLanguageBuild
0x00120a18: Config::IsMultiLanguageBuild
0x00120a28: SIO::Manager::sSgltnInstance
0x00120ab0: SIO::Manager::sSgltnDelete
0x00120b20: Pip::Load
0x00120b48: SIO::Manager::process_devices
0x00120c90: SIO::Manager::create_device
0x00120ce8: SIO::LoadIRX
0x00120d40: Pip::Unload
0x00120e68: Pip::Unload
0x00120e90: Pip::GetFileSize
0x00121018: Pip::GetFileSize
0x00121040: Pip::GetNextLoadedPre
0x00121100: SIO::Manager::Manager
0x001211f8: Pip::PreFileIsInUse
0x00121378: Pip::ScriptLoadPipPre
0x00121440: Pip::ScriptUnloadPipPre
0x00121470: Pip::ScriptDumpPipPreStatus
0x001215f0: SIO::Manager::_Manager
0x001216f0: File::LoadAlloc
0x001218a8: SIO::Manager::GetDevice
0x001218e0: File::LoadAllocAsync
0x001219f8: SIO::Manager::GetDeviceByIndex
0x00121b28: global constructors keyed to c__nxcommon_skate7_code_sys_file_pip.cppO2haaa
0x00121b30: SIO::Manager::Pause
0x00121b48: File::CAsyncFileHandle::CAsyncFileHandle
0x00121b80: File::CAsyncFileHandle::init
0x00121c00: File::CAsyncFileHandle::_CAsyncFileHandle
0x00121c38: File::CAsyncFileHandle::IsBusy
0x00121c48: File::CAsyncFileHandle::WaitForIO
0x00121c50: SIO::Manager::UnPause
0x00121c98: File::CAsyncFileHandle::SetDestination
0x00121ce0: File::CAsyncFileHandle::SetCallback
0x00121cf0: File::CAsyncFileHandle::GetFileSize
0x00121d18: File::CAsyncFileHandle::Load
0x00121d48: File::CAsyncFileHandle::Read
0x00121d70: Tsk::Task_Lst::Head_SIO::Device_ _::_Task
0x00121d78: File::CAsyncFileHandle::Seek
0x00121d90: Lst::Search_SIO::Device_::_Search
0x00121da8: File::CAsyncFileHandle::Cancel
0x00121dd8: File::CAsyncFileHandle::io_callback
0x00121e00: Lst::Node_SIO::Device_::_Node
0x00121e68: File::CAsyncFileHandle::post_io_callback
0x00121e90: Lst::Head_SIO::Device_::_Head
0x00121ea0: File::CAsyncFileHandle::open
0x00121f30: File::CAsyncFileHandle::close
0x00121f60: File::CAsyncFileHandle::plat_init
0x00121f68: File::CAsyncFileHandle::plat_open
0x00121f70: File::CAsyncFileHandle::plat_close
0x00121f78: File::CAsyncFileHandle::plat_is_done
0x00121f80: File::CAsyncFileHandle::plat_is_busy
0x00121f88: File::CAsyncFileHandle::plat_is_eof
0x00121f90: File::CAsyncFileHandle::plat_set_priority
0x00121f98: File::CAsyncFileHandle::plat_set_stream
0x00121fa0: File::CAsyncFileHandle::plat_set_destination
0x00121fa8: File::CAsyncFileHandle::plat_set_buffer_size
0x00121fb0: File::CAsyncFileHandle::plat_set_blocking
0x00121fb8: File::CAsyncFileHandle::plat_load
0x00121fc0: File::CAsyncFileHandle::plat_read
0x00121fc8: File::CAsyncFileHandle::plat_write
0x00121fd0: File::CAsyncFileHandle::plat_get_s
0x00121fd8: File::CAsyncFileHandle::plat_seek
0x00121fe0: File::CAsyncFileHandle::plat_cancel
0x00121fe8: File::CAsyncFileHandle::plat_get_filesize
0x00122010: File::CAsyncFileLoader::sInit
0x00122040: File::CAsyncFileLoader::sAsyncSupported
0x00122068: File::CAsyncFileLoader::sOpen
0x00122078: SIO::Device::wait
0x001220e8: SIO::Device::read_data
0x001220f8: File::CAsyncFileLoader::sClose
0x00122140: File::CAsyncFileLoader::sWaitForIOEvent
0x001222f0: File::CAsyncFileLoader::sUpdate
0x00122328: File::CAsyncFileLoader::sAsyncInUse
0x00122338: File::CAsyncFileLoader::sGetMinSectorSize
0x00122348: SIO::Device::IsPluggedIn
0x00122350: SIO::Device::acquisition_pending
0x00122358: File::CAsyncFileLoader::s_get_file_handle
0x00122388: SIO::Device::query_capabilities
0x00122558: SIO::Device::get_status
0x00122598: File::CAsyncFileLoader::s_free_file_handle
0x001225f8: SIO::Device::Device
0x001226c8: File::CAsyncFileLoader::s_add_callback
0x00122728: File::CAsyncFileLoader::s_update
0x00122748: File::CAsyncFileLoader::s_execute_callback_list
0x00122798: SIO::Device::_Device
0x00122858: SIO::Device::Acquire
0x00122920: File::CAsyncFilePoll::sSgltnInstance
0x00122948: SIO::Device::Unacquire
0x00122980: File::CAsyncFilePoll::sSgltnDelete
0x001229b8: SIO::Device::ActivateActuator
0x001229f0: File::CAsyncFilePoll::CAsyncFilePoll
0x00122a70: File::CAsyncFilePoll::_CAsyncFilePoll
0x00122ad8: File::CAsyncFilePoll::v_start_cb
0x00122ae0: SIO::Device::DisableActuators
