0xee89ca74 scripts\guitar\guitar_budgets.qb
0xdcd4ce73 Game
0xe6d38ea1 AnimTree_scalable
0xddb5cea3 highway_viewport_budget
0x92336ead NodeArray_budget
0x1530deca bg_viewport_budget
0x5802ff04 crowd2_cam_viewport
0x1d99bf1a GameServer
0xe3ba8f5a LightVolume_budget
0x76f7af65 prepass
0x8972bf71 Camera_budget
0xe6fe3f88 Particle_budget
0xf0e45fa7 hero_wait_until_anim_finished_budget
0xf02e6fda fretbar
0xadabdffa ObjectHookManager_budget
0xeeda1f5c scripts\game\anim\animevents_standard.qb
0x8c464007 GH3xp1_Crowd_Becki_Good_Slow1
0x6e52b00a GH3xp1_Crowd_Becki_Special_Med1
0x3b1e9014 GH3xp1_Crowd_Genna_Starpower_Fast2
0x90805019 GH3xp1_Crowd_Becki_Starpower_Slow3
0x680f002d GH3xp1_Crowd_Bill_Starpower_Fast4
0x7d7df02d GH3xp1_Crowd_Rick_Reg_Med1
0xd5e09032 mic_grab
0x771bb03d GH3xp1_Crowd_Colin_Good_Slow4
0x878b1040 GSB_B_NoTempo_UJ_01
0x35594043 GH3xp1_Crowd_Becki_Reg_Slow2
0x69e4604c GH3xp1_Crowd_Becki_Bad2
0xd0b38073 GH3xp1_Crowd_Genna_Good_Fast3
0xe787608f GH3xp1_Crowd_Becki_Starpower_Slow2
0xf88d9094 ozzy_bucket_throw
0x9ee090a1 GH3xp1_Crowd_Genna_Reg_Fast1
0x1cd240b4 GH3xp1_Crowd_Rick_Reg_Slow1
0x7ca050be GH3xp1_Crowd_Jerod_Special_Med4
0x425e70d5 GH3xp1_Crowd_Becki_Reg_Slow3
0xb2b020d6 GH3xp1_Crowd_Jerod_Reg_Slow4
0x1ee350da GH3xp1_Crowd_Becki_Bad3
0xa7b4b0e5 GH3xp1_Crowd_Genna_Good_Fast2
0x7031f10c params
0x663a910d GH3xp1_Crowd_Bill_Bad4
0x85db110e GH3xp1_Crowd_Rick_Reg_Slow2
0x07e9c11b GH3xp1_Crowd_Genna_Reg_Fast2
0x805cd126 GH3xp1_Crowd_Becki_Special_Med3
0x50451129 GH3xp1_Crowd_Genna_Special_Slow4
0x7e8e3135 GH3xp1_Crowd_Becki_Starpower_Slow1
0xb488d153 bdgs_d_guitarist_lose_01
0xb8155159 ff_anims
0x3ebde15f GH3xp1_Crowd_Genna_Good_Fast1
0xab95c17e GH3xp1_Crowd_Bill_Good_Med4
0x70eef18d GH3xp1_Crowd_Genna_Reg_Fast3
0x9a066190 clap
0xe474a197 GH3xp1_Crowd_Rick_Reg_Med2
0xf2dc2198 GH3xp1_Crowd_Rick_Reg_Slow3
0x113da19b GH3xp1_Crowd_Bill_Bad5
0xa217c1ae GH3xp1_Crowd_Genna_Starpower_Fast1
0xf75be1b0 GH3xp1_Crowd_Becki_Special_Med2
0x154f11bd GH3xp1_Crowd_Becki_Good_Slow2
0xf0ed31f6 GH3xp1_Crowd_Becki_Bad1
0xac5011f9 GH3xp1_Crowd_Becki_Reg_Slow1
0x870061f9 GH3xp1_Crowd_Bill_Good_Fast4
0x5660d222 GH3xp1_Crowd_Becki_Good_Med1
0x6d325225 GH3xp1_Crowd_Genna_Special_Med3
0x4991c229 GH3xp1_Crowd_Colin_Starpower_Slow2
0x5925722b s_billy_lose_boss_guitsmash
0x26a23233 GH3xp1_Crowd_Bill_Reg_Slow5
0x0488723c g_ted_stranglehold01_03
0xa38dc246 GH3xp1_Crowd_Genna_Starpower_Med1
0x37b58247 GH3xp1_Crowd_Colin_Bad3
0x33be724b GH3xp1_Crowd_Becki_Special_Fast3
0x6cd96257 GH3xp1_Crowd_Jerod_Special_Fast1
0xb1c12283 Medium_Smash
0x3bd94299 GH3xp1_Crowd_Colin_Starpower_Med1
0x51a502a5 GH3xp1_Crowd_Bill_Reg_Slow4
0xc462e2a5 Drummer_sticks_throw
0x33aa42a9 GH3xp1_Crowd_Genna_Bad1
0x738f42aa g_ted_stranglehold01_02
0x1a3562b3 GH3xp1_Crowd_Genna_Special_Med2
0x3e96f2bf GH3xp1_Crowd_Colin_Starpower_Slow3
0x40b2b2d1 GH3xp1_Crowd_Colin_Bad2
0x859ee2d9 GH3xp1_Crowd_Jerod_Bad6
0x44b942dd GH3xp1_Crowd_Becki_Special_Fast2
0x364d62ec AE_SetIK_GuitarL_On_STRANGLEHOLD
0x60380307 AE_SetIK_GuitarR_On_STRANGLEHOLD
0x833c3309 GH3xp1_Crowd_Genna_Special_Med1
0x4880e30d GH3xp1_Crowd_Jerod_Good_Med4
0xb86eb30e GH3xp1_Crowd_Becki_Good_Med3
0xaaa31313 GH3xp1_Crowd_Genna_Bad2
0xa2d01323 GH3xp1_Crowd_Colin_Starpower_Med2
0x46fa4342 GH3xp1_Crowd_Colin_Reg_Fast5
0x0c997350 b_kris_lose_tantrum
0x1c97b363 GH3xp1_Crowd_Jerod_Bad5
0xddb01367 GH3xp1_Crowd_Becki_Special_Fast1
0x4d83a36a GH3xp1_Crowd_Genna_Starpower_Med3
0xd9bbe36b GH3xp1_Crowd_Colin_Bad1
0x82d7037b GH3xp1_Crowd_Jerod_Special_Fast3
0xdda42385 GH3xp1_Crowd_Genna_Bad3
0x91d36387 gsbd_b_lose_tantrum01
0xf6a0038a GH3xp1_Crowd_Jerod_Starpower_Slow4
0xc5e2c392 CAR_wins_scary
0xd0989393 GH3xp1_Crowd_Colin_Starpower_Slow1
0xcf698398 GH3xp1_Crowd_Becki_Good_Med2
0x3f87d39b GH3xp1_Crowd_Jerod_Good_Med5
0xe06723b0 G_BigStrum04
0x273393b2 guit_Zakk_LoseL_1
0x31fd73d4 GH3xp1_Crowd_Colin_Reg_Fast4
0xf5d033ed GH3xp1_Crowd_Jerod_Special_Fast2
0x6b9083f5 GH3xp1_Crowd_Jerod_Bad4
0x3a8493fc GH3xp1_Crowd_Genna_Starpower_Med2
0xdf9ef413 G_Solo18
0xb926b41c GH3xp1_Crowd_Genna_Special_Slow2
0xee8a642e GH3xp1_Crowd_Genna_Reg_Fast4
0x0ccaa431 GH3xp1_Crowd_Jerod_Special_Med1
0x8f593438 GH3xp1_Crowd_Bill_Bad2
0x42f6644b GH3xp1_Crowd_Bill_Good_Med2
0xc2dad459 GH3xp1_Crowd_Jerod_Reg_Slow1
0x1964f45a GH3xp1_Crowd_Bill_Good_Fast3
0xc8b6445d Rock
0x6984f463 GH3xp1_Crowd_Colin_Special_Med2
0xf161046c AE_SetIK_SlaveR_Off
0xbb7c8470 g_jeff_lose_smash
0xd9c97474 GH3xp1_Crowd_Colin_Reg_Med2
0x1852447d B_DemolitionMan_02
0x1e384485 GH3xp1_Crowd_Becki_Special_Med4
0xa899c485 G_Solo19
0xce21848a GH3xp1_Crowd_Genna_Special_Slow3
0x1865f4a2 GH3xp1_Crowd_Bill_Starpower_Fast1
0xf85e04ae GH3xp1_Crowd_Bill_Bad3
0x077144b2 GH3xp1_Crowd_Colin_Good_Slow1
0xae0d84bf AE_SetIK_SlaveR_On_STRANGLEHOLD
0x6e63c4cc GH3xp1_Crowd_Bill_Good_Fast2
0x35f154dd GH3xp1_Crowd_Bill_Good_Med3
0xd32204e1 Stopplay_win_lose_anim_sound
0xaece44e2 GH3xp1_Crowd_Colin_Reg_Med3
0x6f5574eb B_DemolitionMan_03
0x1e83c4f5 GH3xp1_Crowd_Colin_Special_Med3
0xa0d974fc GH3xp1_Crowd_Genna_Good_Fast6
0x9e781508 GH3xp1_Crowd_Colin_Good_Slow2
0x816ca518 GH3xp1_Crowd_Bill_Starpower_Fast2
0xe2c4c51d GH3xp1_Crowd_Jerod_Special_Med3
0x39d02546 GH3xp1_Crowd_Genna_Good_Fast5
0xf878e554 AE_SetIK_SlaveL_On_STRANGLEHOLD
0xc451f558 event
0x1ad7956a fade_type
0x2cd4b575 GH3xp1_Crowd_Jerod_Reg_Slow3
0xdc3ae576 GH3xp1_Crowd_Becki_Reg_Slow4
0xf76a9576 GH3xp1_Crowd_Bill_Good_Fast1
0x8087c579 GH3xp1_Crowd_Becki_Bad4
0x4c2dc579 Ozzy_Bucket_Water
0x3179157f AE_SetIK_GuitarL_Off
0x16506582 GH3xp1_Crowd_Bill_Bad1
0x95c3f58b GH3xp1_Crowd_Jerod_Special_Med2
0xf66b958e GH3xp1_Crowd_Bill_Starpower_Fast3
0x02d6259a s_ozzy_lose_bucket
0xe97f259e GH3xp1_Crowd_Colin_Good_Slow3
0xe695a5a4 S_Jeff_win_adjust
0x202fe5a6 GH3xp1_Crowd_Genna_Special_Slow1
0x0c2b95bb s_jeff_win_kick
0x815b15c7 B_DemolitionMan_01
0x40c025ce GH3xp1_Crowd_Colin_Reg_Med1
0x4ed715d0 GH3xp1_Crowd_Genna_Good_Fast4
0x065cc5d3 play_win_lose_anim_sound
0xf08da5d9 GH3xp1_Crowd_Colin_Special_Med1
0xab3dd5e0 GH3xp1_Crowd_Becki_Reg_Slow5
0x5bd385e3 GH3xp1_Crowd_Jerod_Reg_Slow2
0xdbff35f1 GH3xp1_Crowd_Bill_Good_Med1
0x4370a616 GH3xp1_Crowd_Jerod_Starpower_Med2
0xc8d43618 GH3xp1_Crowd_Rick_Bad2
0x74868627 gsbd_s_lose_angryatcrowd01
0x68c49629 GH3xp1_Crowd_Jerod_Starpower_Slow3
0x0bfb8629 AE_SetIK_SlaveL_On
0x21cff62a GH3xp1_Crowd_Bill_Reg_Slow1
0x397e562e mic_feedback
0x0b985637 Guit_Jimi_Joker_075
0xa1e34638 GH3xp1_Crowd_Jerod_Good_Med2
0x22f03638 AE_SetIK_to_IK_L
0x7f37a643 AnimEvents_standard
0xf5f41656 GH3xp1_Crowd_Jerod_Bad3
0x7a93266e AE_SetIK_to_FK_L
0xaf99e677 GH3xp1_Crowd_Colin_Reg_Fast3
0x34779680 GH3xp1_Crowd_Jerod_Starpower_Med3
0xbb3da685 AE_SetIK_SlaveR_On
0xbfd3068e GH3xp1_Crowd_Rick_Bad3
0x7f7c06ac s_jeff_lose_pretentious
0x260a26ad GH3xp1_Crowd_Becki_Good_Med4
0xd6e476ae GH3xp1_Crowd_Jerod_Good_Med3
0x1fc3a6bf GH3xp1_Crowd_Jerod_Starpower_Slow2
0x82f326c0 GH3xp1_Crowd_Jerod_Bad2
0x1cb396d8 GH3xp1_Crowd_Jerod_Special_Fast4
0xd89ed6e1 GH3xp1_Crowd_Colin_Reg_Fast2
0xa68f86e4 GH3xp1_Crowd_Colin_Special_Slow1
0xd71e26f5 g_ted_lose_01
0x86caf705 GH3xp1_Crowd_Jerod_Starpower_Slow1
0xcfc19706 GH3xp1_Crowd_Bill_Reg_Slow3
0xedebd709 g_ted_stranglehold01_05
0x8821a746 gsbd_s_win_crowdhype01
0x30de374a gh_rocker_male_select_Drums
0xf221474c linear
0x4197875b GH3xp1_Crowd_Colin_Reg_Fast1
0x3f86d75e GH3xp1_Crowd_Colin_Special_Slow2
0x1bfa777a GH3xp1_Crowd_Jerod_Bad1
0x38ea1782 GH3xp1_Crowd_Jerod_Good_Med1
0xd48ae783 fist
0xf356c786 GH3xp1_Crowd_Genna_Special_Med4
0xb8c6a790 GH3xp1_Crowd_Bill_Reg_Slow2
0x7662f79a b_jeff_win_adjust
0x9aece79f g_ted_stranglehold01_04
0x51dd67a2 GH3xp1_Crowd_Rick_Bad1
0xc1c797a7 b_jeff_lose_kickinstrument
0xda79f7ac GH3xp1_Crowd_Jerod_Starpower_Med1
0x906b67ba time
0xa14707ba facial_anims_male_rocker_hardrock6
0xd61887c1 gsbd_s_win_pointing01
0xa9d117e4 GH3xp1_Crowd_Colin_Bad4
0xaddae7e8 GH3xp1_Crowd_Becki_Special_Fast4
0x0c4ea7ee g_jeff_lose_kickinstrument
0xc82bd801 GH3xp1_Crowd_Becki_Reg_Fast1
0xe37ba801 GH3xp1_Crowd_Bill_Good_Slow4
0x38c58802 GH3xp1_Crowd_Jerod_Reg_Fast6
0xc839c802 s_kris_lose_tantrum
0xb4f00806 GH3xp1_Crowd_Jerod_Good_Slow3
0x9ee2781d car_male_select_drumsticks_in
0xd628b838 G_Solo14
0x7134d845 GH3xp1_Crowd_Becki_Good_Fast2
0x4339e847 GH3xp1_Crowd_Genna_Special_Fast5
0xc66c0856 GH3xp1_Crowd_Genna_Starpower_Slow1
0xa9863856 AE_SetIK_GuitarR_On
0x0653685d b_jeff_win_stagedive
0x5650d864 GH3xp1_Crowd_Bill_Reg_Med3
0x14953875 GH3xp1_Crowd_Genna_Reg_Slow3
0xa6d2d890 scr
0xc3f73890 GH3xp1_Crowd_Jerod_Good_Slow2
0x85981897 left
0x5ac628a7 GH3xp1_Crowd_Genna_Good_Slow1
0xac78a8b5 events
0xce77d8c0 GH3xp1_Crowd_Jerod_Reg_Med1
0x1af5f8cd GH3xp1_Crowd_Becki_Starpower_Fast1
0x343ed8d1 GH3xp1_Crowd_Genna_Special_Fast4
0x7321a8d6 type
0x639208e3 GH3xp1_Crowd_Genna_Reg_Slow2
0x2157e8f2 GH3xp1_Crowd_Bill_Reg_Med2
0xc3cf791d GH3xp1_Crowd_Genna_Good_Slow2
0x5afe692a GH3xp1_Crowd_Jerod_Good_Slow1
0x2625b92d GH3xp1_Crowd_Becki_Reg_Fast3
0xd6cbe92e GH3xp1_Crowd_Jerod_Reg_Fast4
0x2c8ad939 Guit_Zakk_WinL_02
0xb85eb948 GH3xp1_Crowd_Bill_Reg_Med1
0xfa9b5959 GH3xp1_Crowd_Genna_Reg_Slow1
0x83fca977 GH3xp1_Crowd_Becki_Starpower_Fast2
0x2862697a GH3xp1_Crowd_Genna_Starpower_Slow3
0x577e897a GH3xp1_Crowd_Jerod_Reg_Med2
0xb4c8498b GH3xp1_Crowd_Genna_Good_Slow3
0x8b1769a9 gh_rocker_male_select_Drums_03
0xa1ccd9b8 GH3xp1_Crowd_Jerod_Reg_Fast5
0xa9ee69ba Large_Smash
0x512289bb GH3xp1_Crowd_Becki_Reg_Fast2
0x0c74c9d5 GH3xp1_Crowd_Bill_Starpower_Slow4
0xf4fb99e1 GH3xp1_Crowd_Becki_Starpower_Fast3
0x5f6559ec GH3xp1_Crowd_Genna_Starpower_Slow2
0x2079b9ec GH3xp1_Crowd_Jerod_Reg_Med3
0xafb679f7 GH3xp1_Crowd_Colin_Good_Med4
0xe83d89ff GH3xp1_Crowd_Becki_Good_Fast1
0xf99d5a06 fade_time
0x98879a08 GH3xp1_Crowd_Bill_Starpower_Med2
0x91abfa15 GH3xp1_Crowd_Jerod_Special_Slow2
0xfe194a16 d_jeff_lose_kickinstrument
0x8c886a48 s_jeff_lose_kickinstrument
0x79574a58 IK_FK_Switch_Override
0x92dbca72 GH3xp1_Crowd_Jerod_Starpower_Fast4
0x00ab9a82 GH3xp1_Crowd_Genna_Good_Med1
0xe6acca83 GH3xp1_Crowd_Jerod_Special_Slow3
0xef80aa9e GH3xp1_Crowd_Bill_Starpower_Med3
0xb9cbda9f GH3xp1_Crowd_Becki_Special_Slow1
0xdf253ac2 S_Jeff_Lose_Smash
0x8c1d6ad5 set_crowd_hand
0xe5dcfae4 GH3xp1_Crowd_Jerod_Starpower_Fast5
0x4b358aeb RIGHT
0x77f35afb Drummer_Snare_Hit
0x809c1b0d AE_SetIK_to_FK_R
0x82cc1b16 g_jeff_win_adjust
0x20c28b25 GH3xp1_Crowd_Becki_Special_Slow2
0xf508fb33 AE_DisableAutoFret
0x99a2cb38 GH3xp1_Crowd_Genna_Good_Med2
0x6fad4b4e s_ozzy_win
0xd8ff0b5b AE_SetIK_to_IK_R
0x98549ba4 anim
0xeea5fbae GH3xp1_Crowd_Genna_Good_Med3
0x08a2abaf GH3xp1_Crowd_Jerod_Special_Slow1
0x018ecbb2 GH3xp1_Crowd_Bill_Starpower_Med1
0x57c5bbb3 GH3xp1_Crowd_Becki_Special_Slow3
0xc7ca0bfb AE_ChangeFacialAnims
0x3fa84c1b GH3xp1_Crowd_Jerod_Reg_Fast2
0x2aacdc28 GH3xp1_Crowd_Genna_Good_Slow4
0xbe1d2c4f GH3xp1_Crowd_Jerod_Reg_Med4
0x31d2ec54 GH3xp1_Crowd_Colin_Good_Med3
0x44542c5e GH3xp1_Crowd_Genna_Special_Fast1
0x57381c62 GH3xp1_Crowd_Genna_Reg_Med1
0x8d04ec66 GH3xp1_Crowd_Colin_Good_Fast3
0x92105c76 GH3xp1_Crowd_Bill_Starpower_Slow3
0xd99ccc88 gsbd_s_lose_tantrum01
0x3c9acc8c facial_anims_female_rocker_hardrock6
0x48af7c8d GH3xp1_Crowd_Jerod_Reg_Fast3
0x93115c8e GH3xp1_Crowd_Bill_Good_Slow1
0xeea93c9c AE_SetIK_GuitarR_Off
0x5dabecbe GH3xp1_Crowd_Genna_Good_Slow5
0x46d5dcc2 GH3xp1_Crowd_Colin_Good_Med2
0x07473cca Guit_Jimi_Joker_120
0xc91a1cd9 GH3xp1_Crowd_Jerod_Reg_Med5
0xe5176ce0 GH3xp1_Crowd_Bill_Starpower_Slow2
0xb897ece3 CAR_female_Select_drumsticks_in
0xfa03dcf0 GH3xp1_Crowd_Colin_Good_Fast2
0xf833bcfe g_ted_stranglehold02_01
0xc4a2bd04 GH3xp1_Crowd_Genna_Good_Slow6
0xe57f4d0f mf_anims
0x5d93ad33 GH3xp1_Crowd_Jerod_Good_Slow5
0x0a180d34 GH3xp1_Crowd_Bill_Good_Slow2
0x613aed44 g_ted_stranglehold02_02
0x630a8d4a GH3xp1_Crowd_Colin_Good_Fast1
0x7c1e3d5a GH3xp1_Crowd_Bill_Starpower_Slow1
0x50134d63 GH3xp1_Crowd_Jerod_Reg_Med6
0xd89dbd70 Hand
0xaa5a4d72 GH3xp1_Crowd_Genna_Special_Fast3
0xdfdc8d78 GH3xp1_Crowd_Colin_Good_Med1
0x2eb12d8f AE_SetIK_SlaveL_Off
0xa6a11da1 GH3xp1_Crowd_Jerod_Reg_Fast1
0x7d1f3da2 GH3xp1_Crowd_Bill_Good_Slow3
0x2a949da5 GH3xp1_Crowd_Jerod_Good_Slow4
0xc8344dc7 GH3xp1_Crowd_Bill_Reg_Med4
0x163dddd2 g_ted_stranglehold02_03
0xce314dd8 GH3xp1_Crowd_Genna_Reg_Med2
0xb24e0ddf Drummer_Tom_Hit
0xdd5d7de4 GH3xp1_Crowd_Genna_Special_Fast2
0x27147df5 GH3xp1_Crowd_Jerod_Reg_Med7
0xd3639e08 Small_Smash
0x4f66be0c mic_hit
0x70c16e0d GH3xp1_Crowd_Genna_Good_Med4
0x0f06ae2a Guit_Zakk_WinR
0x35715e48 Guit_Jimi_Joker_100
0xdcbd6e68 GH3xp1_Crowd_Bill_Reg_Fast2
0xfc11ae71 GH3xp1_Crowd_Becki_Starpower_Med1
0xc1bafe7b GH3xp1_Crowd_Becki_Reg_Med3
0xeb8abe91 gsbd_g_lose_tantrum01
0x07c65e9b GH3xp1_Crowd_Genna_Good_Med5
0x25ec4ea3 GH3xp1_Crowd_Colin_Reg_Slow1
0x5bfd1ea6 GH3xp1_Crowd_Colin_Special_Fast2
0xb40caecb GSB_G_NoTempo_UJ_01
0x9f6e0ed2 s_jeff_lose_depressed
0x3213feea g_kris_lose_tantrum
0xb6bdceed GH3xp1_Crowd_Becki_Reg_Med2
0xe2b13efd GH3xp1_Crowd_Jerod_Starpower_Fast1
0xabba5efe GH3xp1_Crowd_Bill_Reg_Fast3
0x601c1f0c AE_SetIK_Slaves_On_Jimi
0xbce51f19 GH3xp1_Crowd_Colin_Reg_Slow2
0xc2f44f1c GH3xp1_Crowd_Colin_Special_Fast1
0xcd68df36 bdgs_d_singer_lose_01
0x71e43f3d GH3xp1_Crowd_Bill_Starpower_Med4
0x7bb86f47 GH3xp1_Crowd_Jerod_Starpower_Fast2
0x2fb49f57 GH3xp1_Crowd_Becki_Reg_Med1
0x121fcf5d GH3xp1_Crowd_Becki_Starpower_Med3
0x8d6f1f74 G_Solo21
0xcbe22f8f GH3xp1_Crowd_Colin_Reg_Slow3
0x4b509fa0 b_jeff_lose_depressed
0x06e30fab GH3xp1_Crowd_Bill_Starpower_Med5
0x6518ffcb GH3xp1_Crowd_Becki_Starpower_Med2
0x0cbf5fd1 GH3xp1_Crowd_Jerod_Starpower_Fast3
0x45b43fd2 GH3xp1_Crowd_Bill_Reg_Fast1
0xc77e191c scripts\game\anim\animevents_tempomatching.qb
0x302d2022 Guit_Zakk_StillBorn_120
0x81b8e023 Guit_Ginger_AreYou_120_01
0x99618029 Guit_ChrisVance_Joker_120_01
0x0f7e902c NullScript
0x627c0036 Drum_Andy_StandardLP_RS_120_01
0x0b765046 Guit_Ginger_Bulls_120_01
0x71740059 Drum_Andy_HS_2_HHHS_HS_120
0x6106d070 Guit_JoeS_Hot_150_01
0xb825d079 Sing_Rob_Stillborn_075_01
0xb2b11084 tempo_matching
0xe744a087 Guit_JoeS_Hot_075_01
0xef20e08d Drum_Andy_C2S_2_C1C2_T3S_120
0xd7c97093 Sing_rockG_Dammit_120_1
0x0fa810c1 Drum_Andy_SS_2_C2_T3S_120
0xbea990c4 Guit_Jeff_LowKey_100_02
0xf7c7b0d1 Guit_ChrisVance_Damnit_120
0x0bb300db Drum_Andy_RS_2_C1C2_SS_120
0x0817f0f2 Drum_Andy_StandardLP_StickhitsTwo
0x6684d0f5 Singer_Joker_100
0xc841f0ff Sing_josh_joker_075_1
0x96528107 Guit_Matt_Bulls_120_01
0x4fd46118 sing_natalie_areyou_120_1
0xe9717119 Guit_Dan_Damnit_100
0x2d8c711b Guit_ChrisVance_Bulls_100
0x668d6124 Drum_Andy_SS_2_C2_C2S_120
0x4ec02129 Sing_RockG_Dammit_120_2
0x7cf8912c Sing_RockG_Joker_075_01
0x931fe130 Guit_Sonny_Bulls_120_01
0xa5db914a Drum_Andy_SS_2_C1C2_SS_120
0x86059168 Drum_Andy_C2S_2_C1C2_C2S_120
0xa3bc6177 Guit_Davidicus_Damnit_150_02
0x27a0c17e Guit_Jeff_LowKey_100_01
0x07caa183 Sing_Haley_Bulls_075_01
0xfd5ba185 Drum_Andy_StandardLP_T3S_120_01
0xa2e84186 Drum_Andy_C2S_2_C1C2_T1S_120
0x5ea20195 Guit_Judita_Joker_120
0x4260b1ca Drum_Andy_SS_2_C2_T1S_120
0xc33371d7 Guit_dan_Joker_075
0x645f11fe Guit_Davidicus_Bulls_100
0x5d60921e Guit_Jeff_LowKey_120_01
0xc41be220 gh3_guit_axel_c_med_jump01
0xe9dfb250 Guit_Sonny_Bulls_100_01
0xc5f1d253 Guit_ChrisVance_Damnit_100
0xdb16a265 Guit_Judita_Bulls_075
